id;Type;PRISM-TUM;PRISM-TUMshifted;other;othershifted
crowds.5-20.positive;dtmc;4000;4000;2.6328952312469482;2.6328952312469482
crowds.6-20.positive;dtmc;4000;4000;2.9710896015167236;2.9710896015167236
egl.10-2.unfairA;dtmc;8000;8000;1.8639512062072754;1.8639512062072754
egl.10-8.unfairA;dtmc;8000;8000;17.61607336997986;17.61607336997986
haddad-monmege.100-0.7.target;dtmc;4000;4000;0.05773663520812988;1
nand.40-4.reliable;dtmc;4000;4000;6.465235710144043;6.465235710144043
nand.60-4.reliable;dtmc;4000;4000;29.283401489257812;29.283401489257812
embedded.8-12.actuators;ctmc;41.34941029548645;41.34941029548645;0.761833667755127;1
polling.18-16.s1_before_s2;ctmc;4000;4000;45.16190147399902;45.16190147399902
consensus.4-4.disagree;mdp;4000;4000;2.5018160343170166;2.5018160343170166
consensus.6-2.disagree;mdp;4000;4000;7.998741626739502;7.998741626739502
csma.3-4.all_before_max;mdp;59.041176319122314;59.041176319122314;6.627501726150513;6.627501726150513
csma.4-2.all_before_max;mdp;37.16520047187805;37.16520047187805;3.8598902225494385;3.8598902225494385
pacman.100.crash;mdp;8000;8000;73.31355834007263;73.31355834007263
pacman.60.crash;mdp;248.33732914924622;248.33732914924622;32.043384075164795;32.043384075164795
pnueli-zuck.5.live;mdp;0.7072618007659912;1;0.9160435199737549;1
pnueli-zuck.10.live;mdp;0.9578907489776611;1;2.2439589500427246;2.2439589500427246
rabin.10.live;mdp;1.2535321712493896;1.2535321712493896;1.905656337738037;1.905656337738037
resource-gathering.1300-100-100.prgoldgem;mdp;4000;4000;23.454471111297607;23.454471111297607
wlan.4-0.sent;mdp;4000;4000;2.2112386226654053;2.2112386226654053
wlan.5-0.sent;mdp;4000;4000;3.4181132316589355;3.4181132316589355
wlan.6-0.sent;mdp;4000;4000;6.02581000328064;6.02581000328064
zeroconf.1000-8-false.correct_max;mdp;24.536492586135864;24.536492586135864;14.97414493560791;14.97414493560791
zeroconf.1000-8-false.correct_min;mdp;5.798058032989502;5.798058032989502;16.454181671142578;16.454181671142578
