n;mcsta;mcstascaled;mcstashifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;3.0912322998046875;3.0912322998046875;3.0912322998046875;1.6637887954711914;1.6637887954711914;1.6637887954711914;0.725492000579834;0.8272706186100282;1.0;0.05773663520812988;0.5215800727238303;1.0
2;3.658759117126465;3.658759117126465;3.658759117126465;1.6678879261016846;1.6678879261016846;1.6678879261016846;0.7776095867156982;0.8575962553231897;1.0;0.0590822696685791;0.5220651231553205;1.0
3;4.43337869644165;4.43337869644165;4.43337869644165;1.6802911758422852;1.6802911758422852;1.6802911758422852;2.521324396133423;2.521324396133423;2.521324396133423;0.720970869064331;0.824691010754468;1.0
4;4.455019235610962;4.455019235610962;4.455019235610962;9.860687971115112;9.860687971115112;9.860687971115112;2.7310752868652344;2.7310752868652344;2.7310752868652344;0.761833667755127;0.8483012370635707;1.0
5;5.793745040893555;5.793745040893555;5.793745040893555;10.866581439971924;10.866581439971924;10.866581439971924;3.349825859069824;3.349825859069824;3.349825859069824;0.9160435199737549;0.943654588497375;1.0
6;5.85488486289978;5.85488486289978;5.85488486289978;14.927441120147705;14.927441120147705;14.927441120147705;4.010963439941406;4.010963439941406;4.010963439941406;1.905656337738037;1.905656337738037;1.905656337738037
7;5.944459915161133;5.944459915161133;5.944459915161133;16.072890758514404;16.072890758514404;16.072890758514404;4.286552429199219;4.286552429199219;4.286552429199219;2.2112386226654053;2.2112386226654053;2.2112386226654053
8;6.741584300994873;6.741584300994873;6.741584300994873;17.49091148376465;17.49091148376465;17.49091148376465;5.8338963985443115;5.8338963985443115;5.8338963985443115;2.2439589500427246;2.2439589500427246;2.2439589500427246
9;6.934811353683472;6.934811353683472;6.934811353683472;23.160612106323242;23.160612106323242;23.160612106323242;10.094582796096802;10.094582796096802;10.094582796096802;2.5018160343170166;2.5018160343170166;2.5018160343170166
10;7.716775894165039;7.716775894165039;7.716775894165039;27.328224658966064;27.328224658966064;27.328224658966064;10.283540487289429;10.283540487289429;10.283540487289429;2.6328952312469482;2.6328952312469482;2.6328952312469482
11;9.742437362670898;9.742437362670898;9.742437362670898;49.68142890930176;49.68142890930176;49.68142890930176;12.812387466430664;12.812387466430664;12.812387466430664;2.7680435180664062;2.7680435180664062;2.7680435180664062
12;13.372882604598999;13.372882604598999;13.372882604598999;51.74032163619995;51.74032163619995;51.74032163619995;15.401335954666138;15.401335954666138;15.401335954666138;2.9710896015167236;2.9710896015167236;2.9710896015167236
13;15.006984233856201;15.006984233856201;15.006984233856201;53.79197669029236;53.79197669029236;53.79197669029236;15.47986888885498;15.47986888885498;15.47986888885498;3.4181132316589355;3.4181132316589355;3.4181132316589355
14;16.4165301322937;16.4165301322937;16.4165301322937;54.00314116477966;54.00314116477966;54.00314116477966;16.778549194335938;16.778549194335938;16.778549194335938;3.7900478839874268;3.7900478839874268;3.7900478839874268
15;17.554176330566406;17.554176330566406;17.554176330566406;56.15145516395569;56.15145516395569;56.15145516395569;16.839864492416382;16.839864492416382;16.839864492416382;3.8154256343841553;3.8154256343841553;3.8154256343841553
16;17.638596296310425;17.638596296310425;17.638596296310425;58.00962686538696;58.00962686538696;58.00962686538696;18.7403507232666;18.7403507232666;18.7403507232666;3.902383804321289;3.902383804321289;3.902383804321289
17;24.83673930168152;24.83673930168152;24.83673930168152;58.63333249092102;58.63333249092102;58.63333249092102;22.844069957733154;22.844069957733154;22.844069957733154;4.754761219024658;4.754761219024658;4.754761219024658
18;31.547567129135132;31.547567129135132;31.547567129135132;60.594013929367065;60.594013929367065;60.594013929367065;25.6209614276886;25.6209614276886;25.6209614276886;5.82468318939209;5.82468318939209;5.82468318939209
19;34.8837206363678;34.8837206363678;34.8837206363678;65.42909288406372;65.42909288406372;65.42909288406372;38.42928433418274;38.42928433418274;38.42928433418274;6.02581000328064;6.02581000328064;6.02581000328064
20;38.592076778411865;38.592076778411865;38.592076778411865;65.6973922252655;65.6973922252655;65.6973922252655;50.95739698410034;50.95739698410034;50.95739698410034;6.436121940612793;6.436121940612793;6.436121940612793
21;52.1372435092926;52.1372435092926;52.1372435092926;67.62052202224731;67.62052202224731;67.62052202224731;54.76093506813049;54.76093506813049;54.76093506813049;6.627501726150513;6.627501726150513;6.627501726150513
22;94.67513275146484;94.67513275146484;94.67513275146484;91.39933586120605;91.39933586120605;91.39933586120605;58.39931845664978;58.39931845664978;58.39931845664978;7.224566459655762;7.224566459655762;7.224566459655762
23;102.39689588546753;102.39689588546753;102.39689588546753;97.3213300704956;97.3213300704956;97.3213300704956;61.572596311569214;61.572596311569214;61.572596311569214;7.998741626739502;7.998741626739502;7.998741626739502
24;107.16213178634644;107.16213178634644;107.16213178634644;99.07485222816467;99.07485222816467;99.07485222816467;65.05634808540344;65.05634808540344;65.05634808540344;8.706298112869263;8.706298112869263;8.706298112869263
25;133.58866024017334;133.58866024017334;133.58866024017334;100.30750513076782;100.30750513076782;100.30750513076782;71.43869113922119;71.43869113922119;71.43869113922119;8.911469221115112;8.911469221115112;8.911469221115112
26;153.74606847763062;153.74606847763062;153.74606847763062;120.44681477546692;120.44681477546692;120.44681477546692;90.11320543289185;90.11320543289185;90.11320543289185;12.665531635284424;12.665531635284424;12.665531635284424
27;173.04456162452698;173.04456162452698;173.04456162452698;121.32249283790588;121.32249283790588;121.32249283790588;115.52258896827698;115.52258896827698;115.52258896827698;16.46184253692627;16.46184253692627;16.46184253692627
28;187.3759527206421;187.3759527206421;187.3759527206421;136.04128742218018;136.04128742218018;136.04128742218018;175.18121123313904;175.18121123313904;175.18121123313904;19.402340412139893;19.402340412139893;19.402340412139893
29;275.48971247673035;275.48971247673035;275.48971247673035;166.6452181339264;166.6452181339264;166.6452181339264;187.60143303871155;187.60143303871155;187.60143303871155;23.079660415649414;23.079660415649414;23.079660415649414
30;286.7274241447449;286.7274241447449;286.7274241447449;221.09106278419495;221.09106278419495;221.09106278419495;203.3464035987854;203.3464035987854;203.3464035987854;25.882107973098755;25.882107973098755;25.882107973098755
31;293.5284035205841;293.5284035205841;293.5284035205841;241.07750391960144;241.07750391960144;241.07750391960144;251.73936486244202;251.73936486244202;251.73936486244202;26.065330743789673;26.065330743789673;26.065330743789673
32;732.2853336334229;732.2853336334229;732.2853336334229;309.71330881118774;309.71330881118774;309.71330881118774;270.77259159088135;270.77259159088135;270.77259159088135;32.043384075164795;32.043384075164795;32.043384075164795
33;788.7622807025909;788.7622807025909;788.7622807025909;420.44023418426514;420.44023418426514;420.44023418426514;450.2413065433502;450.2413065433502;450.2413065433502;36.33254337310791;36.33254337310791;36.33254337310791
34;;;;453.78631138801575;453.78631138801575;453.78631138801575;622.0803983211517;622.0803983211517;622.0803983211517;38.426015853881836;38.426015853881836;38.426015853881836
35;;;;629.9062688350677;629.9062688350677;629.9062688350677;822.566379070282;822.566379070282;822.566379070282;40.40433216094971;40.40433216094971;40.40433216094971
36;;;;1103.403888463974;1103.403888463974;1103.403888463974;929.2023448944092;929.2023448944092;929.2023448944092;45.16190147399902;45.16190147399902;45.16190147399902
37;;;;;;;;;;45.967488288879395;45.967488288879395;45.967488288879395
38;;;;;;;;;;65.37557935714722;65.37557935714722;65.37557935714722
39;;;;;;;;;;73.31355834007263;73.31355834007263;73.31355834007263
40;;;;;;;;;;174.51093459129333;174.51093459129333;174.51093459129333
41;;;;;;;;;;252.2085886001587;252.2085886001587;252.2085886001587
42;;;;;;;;;;457.11889815330505;457.11889815330505;457.11889815330505
43;;;;;;;;;;;;
