n;ePMC;ePMCscaled;ePMCshifted;mcsta;mcstascaled;mcstashifted;Storm-static;Storm-staticscaled;Storm-staticshifted;PRISM;PRISMscaled;PRISMshifted
1;32.334659814834595;32.334659814834595;32.334659814834595;3.0694596767425537;3.0694596767425537;3.0694596767425537;0.0974283218383789;0.5360786318554405;1.0;1.6586251258850098;1.6586251258850098;1.6586251258850098
2;44.409607887268066;44.409607887268066;44.409607887268066;3.591623544692993;3.591623544692993;3.591623544692993;0.13095998764038086;0.5486406676761612;1.0;1.6628661155700684;1.6628661155700684;1.6628661155700684
3;55.30375266075134;55.30375266075134;55.30375266075134;4.1229071617126465;4.1229071617126465;4.1229071617126465;1.4592525959014893;1.4592525959014893;1.4592525959014893;1.6804678440093994;1.6804678440093994;1.6804678440093994
4;83.54272627830505;83.54272627830505;83.54272627830505;4.337080478668213;4.337080478668213;4.337080478668213;2.243938684463501;2.243938684463501;2.243938684463501;7.755246877670288;7.755246877670288;7.755246877670288
5;88.45959448814392;88.45959448814392;88.45959448814392;4.363117456436157;4.363117456436157;4.363117456436157;3.3916406631469727;3.3916406631469727;3.3916406631469727;8.910725116729736;8.910725116729736;8.910725116729736
6;89.23931074142456;89.23931074142456;89.23931074142456;4.468922138214111;4.468922138214111;4.468922138214111;3.711729049682617;3.711729049682617;3.711729049682617;10.2262864112854;10.2262864112854;10.2262864112854
7;107.73973107337952;107.73973107337952;107.73973107337952;5.950003385543823;5.950003385543823;5.950003385543823;4.280115604400635;4.280115604400635;4.280115604400635;11.515100240707397;11.515100240707397;11.515100240707397
8;129.35116958618164;129.35116958618164;129.35116958618164;6.658794164657593;6.658794164657593;6.658794164657593;4.341279983520508;4.341279983520508;4.341279983520508;11.540806293487549;11.540806293487549;11.540806293487549
9;167.5069031715393;167.5069031715393;167.5069031715393;7.0185158252716064;7.0185158252716064;7.0185158252716064;10.272721529006958;10.272721529006958;10.272721529006958;14.65919041633606;14.65919041633606;14.65919041633606
10;174.05734181404114;174.05734181404114;174.05734181404114;7.530000448226929;7.530000448226929;7.530000448226929;10.315888166427612;10.315888166427612;10.315888166427612;14.925920009613037;14.925920009613037;14.925920009613037
11;176.73462772369385;176.73462772369385;176.73462772369385;7.807526111602783;7.807526111602783;7.807526111602783;12.840407848358154;12.840407848358154;12.840407848358154;15.936527252197266;15.936527252197266;15.936527252197266
12;177.70716762542725;177.70716762542725;177.70716762542725;12.376911401748657;12.376911401748657;12.376911401748657;15.359503030776978;15.359503030776978;15.359503030776978;17.521067142486572;17.521067142486572;17.521067142486572
13;215.66537404060364;215.66537404060364;215.66537404060364;14.642618894577026;14.642618894577026;14.642618894577026;16.67484951019287;16.67484951019287;16.67484951019287;17.848053693771362;17.848053693771362;17.848053693771362
14;352.29078555107117;352.29078555107117;352.29078555107117;15.878494501113892;15.878494501113892;15.878494501113892;17.072768688201904;17.072768688201904;17.072768688201904;21.573160409927368;21.573160409927368;21.573160409927368
15;477.92209553718567;477.92209553718567;477.92209553718567;17.623847723007202;17.623847723007202;17.623847723007202;17.269431829452515;17.269431829452515;17.269431829452515;21.713942527770996;21.713942527770996;21.713942527770996
16;601.3485345840454;601.3485345840454;601.3485345840454;24.88311743736267;24.88311743736267;24.88311743736267;18.563143730163574;18.563143730163574;18.563143730163574;27.517194986343384;27.517194986343384;27.517194986343384
17;816.1197836399078;816.1197836399078;816.1197836399078;30.964380502700806;30.964380502700806;30.964380502700806;20.71578359603882;20.71578359603882;20.71578359603882;37.257758140563965;37.257758140563965;37.257758140563965
18;993.5482563972473;993.5482563972473;993.5482563972473;37.32885766029358;37.32885766029358;37.32885766029358;23.80597162246704;23.80597162246704;23.80597162246704;38.53965520858765;38.53965520858765;38.53965520858765
19;;;;51.47614073753357;51.47614073753357;51.47614073753357;32.444220542907715;32.444220542907715;32.444220542907715;42.58271408081055;42.58271408081055;42.58271408081055
20;;;;82.08800458908081;82.08800458908081;82.08800458908081;34.1780846118927;34.1780846118927;34.1780846118927;47.24611163139343;47.24611163139343;47.24611163139343
21;;;;96.99260330200195;96.99260330200195;96.99260330200195;36.72918152809143;36.72918152809143;36.72918152809143;47.48324942588806;47.48324942588806;47.48324942588806
22;;;;104.70440745353699;104.70440745353699;104.70440745353699;45.865715742111206;45.865715742111206;45.865715742111206;64.76841044425964;64.76841044425964;64.76841044425964
23;;;;136.16869854927063;136.16869854927063;136.16869854927063;51.19405913352966;51.19405913352966;51.19405913352966;65.2170786857605;65.2170786857605;65.2170786857605
24;;;;173.54415917396545;173.54415917396545;173.54415917396545;57.177348613739014;57.177348613739014;57.177348613739014;65.2724494934082;65.2724494934082;65.2724494934082
25;;;;188.08399486541748;188.08399486541748;188.08399486541748;72.52559161186218;72.52559161186218;72.52559161186218;67.28400444984436;67.28400444984436;67.28400444984436
26;;;;248.58886337280273;248.58886337280273;248.58886337280273;88.89722752571106;88.89722752571106;88.89722752571106;67.95242595672607;67.95242595672607;67.95242595672607
27;;;;287.81885743141174;287.81885743141174;287.81885743141174;114.9733829498291;114.9733829498291;114.9733829498291;91.5302300453186;91.5302300453186;91.5302300453186
28;;;;299.79538893699646;299.79538893699646;299.79538893699646;120.61619734764099;120.61619734764099;120.61619734764099;95.62473106384277;95.62473106384277;95.62473106384277
29;;;;554.3715498447418;554.3715498447418;554.3715498447418;126.30804967880249;126.30804967880249;126.30804967880249;97.43040728569031;97.43040728569031;97.43040728569031
30;;;;788.1266028881073;788.1266028881073;788.1266028881073;152.9982078075409;152.9982078075409;152.9982078075409;99.05307197570801;99.05307197570801;99.05307197570801
31;;;;;;;183.7072069644928;183.7072069644928;183.7072069644928;100.18391919136047;100.18391919136047;100.18391919136047
32;;;;;;;185.3034143447876;185.3034143447876;185.3034143447876;147.07581901550293;147.07581901550293;147.07581901550293
33;;;;;;;275.1262061595917;275.1262061595917;275.1262061595917;185.85908579826355;185.85908579826355;185.85908579826355
34;;;;;;;632.4046204090118;632.4046204090118;632.4046204090118;185.95202374458313;185.95202374458313;185.95202374458313
35;;;;;;;822.0869903564453;822.0869903564453;822.0869903564453;241.12155628204346;241.12155628204346;241.12155628204346
36;;;;;;;923.8035209178925;923.8035209178925;923.8035209178925;362.3100280761719;362.3100280761719;362.3100280761719
37;;;;;;;;;;542.9152591228485;542.9152591228485;542.9152591228485
38;;;;;;;;;;628.9095811843872;628.9095811843872;628.9095811843872
39;;;;;;;;;;;;
40;;;;;;;;;;;;
41;;;;;;;;;;;;
