n;mcsta;mcstascaled;mcstashifted;PET;PETscaled;PETshifted;PRISM;PRISMscaled;PRISMshifted;Storm-static;Storm-staticscaled;Storm-staticshifted;Storm;Stormscaled;Stormshifted
1;2.5729620456695557;2.5729620456695557;2.5729620456695557;0.8149840831756592;0.8800254357960564;1.0;1.6752760410308838;1.6752760410308838;1.6752760410308838;0.056337594985961914;0.5210762493690254;1.0;0.0566103458404541;0.5211744343940243;1.0
2;3.0571415424346924;3.0571415424346924;3.0571415424346924;0.9297399520874023;0.9526250241098694;1.0;1.6870434284210205;1.6870434284210205;1.6870434284210205;0.6746721267700195;0.7987330186915723;1.0;0.3208444118499756;0.6255374617824739;1.0
3;3.065861940383911;3.065861940383911;3.065861940383911;37.218525409698486;37.218525409698486;37.218525409698486;1.8373444080352783;1.8373444080352783;1.8373444080352783;0.887401819229126;0.925167878411581;1.0;0.9275753498077393;0.9512016718649872;1.0
4;4.440749645233154;4.440749645233154;4.440749645233154;51.73758888244629;51.73758888244629;51.73758888244629;5.171628475189209;5.171628475189209;5.171628475189209;1.3915112018585205;1.3915112018585205;1.3915112018585205;1.3978123664855957;1.3978123664855957;1.3978123664855957
5;6.135810613632202;6.135810613632202;6.135810613632202;87.15906119346619;87.15906119346619;87.15906119346619;7.673661708831787;7.673661708831787;7.673661708831787;1.6060616970062256;1.6060616970062256;1.6060616970062256;1.9087796211242676;1.9087796211242676;1.9087796211242676
6;6.808935165405273;6.808935165405273;6.808935165405273;294.98741483688354;294.98741483688354;294.98741483688354;9.873354434967041;9.873354434967041;9.873354434967041;2.208712100982666;2.208712100982666;2.208712100982666;2.199981689453125;2.199981689453125;2.199981689453125
7;7.109309434890747;7.109309434890747;7.109309434890747;;;;10.778946161270142;10.778946161270142;10.778946161270142;2.216695547103882;2.216695547103882;2.216695547103882;2.4011611938476562;2.4011611938476562;2.4011611938476562
8;7.21002197265625;7.21002197265625;7.21002197265625;;;;15.001332998275757;15.001332998275757;15.001332998275757;2.389371395111084;2.389371395111084;2.389371395111084;2.693235397338867;2.693235397338867;2.693235397338867
9;13.170981407165527;13.170981407165527;13.170981407165527;;;;16.457151889801025;16.457151889801025;16.457151889801025;2.555194854736328;2.555194854736328;2.555194854736328;2.9509332180023193;2.9509332180023193;2.9509332180023193
10;14.974791526794434;14.974791526794434;14.974791526794434;;;;17.617414712905884;17.617414712905884;17.617414712905884;2.7393476963043213;2.7393476963043213;2.7393476963043213;3.397376775741577;3.397376775741577;3.397376775741577
11;24.842591285705566;24.842591285705566;24.842591285705566;;;;27.42373299598694;27.42373299598694;27.42373299598694;3.015622615814209;3.015622615814209;3.015622615814209;3.800344705581665;3.800344705581665;3.800344705581665
12;31.618762731552124;31.618762731552124;31.618762731552124;;;;37.32469201087952;37.32469201087952;37.32469201087952;3.605030059814453;3.605030059814453;3.605030059814453;6.039976596832275;6.039976596832275;6.039976596832275
13;34.61443734169006;34.61443734169006;34.61443734169006;;;;39.76050043106079;39.76050043106079;39.76050043106079;5.655471563339233;5.655471563339233;5.655471563339233;6.679159879684448;6.679159879684448;6.679159879684448
14;43.00438332557678;43.00438332557678;43.00438332557678;;;;48.433531761169434;48.433531761169434;48.433531761169434;6.153059959411621;6.153059959411621;6.153059959411621;7.2423317432403564;7.2423317432403564;7.2423317432403564
15;134.83462142944336;134.83462142944336;134.83462142944336;;;;64.97968029975891;64.97968029975891;64.97968029975891;6.521105527877808;6.521105527877808;6.521105527877808;8.609684467315674;8.609684467315674;8.609684467315674
16;165.61006808280945;165.61006808280945;165.61006808280945;;;;67.7798490524292;67.7798490524292;67.7798490524292;7.821901559829712;7.821901559829712;7.821901559829712;10.386704206466675;10.386704206466675;10.386704206466675
17;173.1283814907074;173.1283814907074;173.1283814907074;;;;99.87042617797852;99.87042617797852;99.87042617797852;10.38874101638794;10.38874101638794;10.38874101638794;20.760208129882812;20.760208129882812;20.760208129882812
18;200.14297103881836;200.14297103881836;200.14297103881836;;;;110.75507307052612;110.75507307052612;110.75507307052612;20.685575485229492;20.685575485229492;20.685575485229492;24.77476143836975;24.77476143836975;24.77476143836975
19;295.01219177246094;295.01219177246094;295.01219177246094;;;;118.59371542930603;118.59371542930603;118.59371542930603;22.788467407226562;22.788467407226562;22.788467407226562;25.360629081726074;25.360629081726074;25.360629081726074
20;1409.2778446674347;1409.2778446674347;1409.2778446674347;;;;121.16342735290527;121.16342735290527;121.16342735290527;25.200990438461304;25.200990438461304;25.200990438461304;26.026153564453125;26.026153564453125;26.026153564453125
21;;;;;;;213.5708451271057;213.5708451271057;213.5708451271057;31.081514358520508;31.081514358520508;31.081514358520508;32.40609407424927;32.40609407424927;32.40609407424927
22;;;;;;;;;;33.39845132827759;33.39845132827759;33.39845132827759;35.61362910270691;35.61362910270691;35.61362910270691
23;;;;;;;;;;74.63979363441467;74.63979363441467;74.63979363441467;73.7836971282959;73.7836971282959;73.7836971282959
